id,infoUrl,foodnames
apple,https://en.wikipedia.org/wiki/Apple,Apple
apricot,https://en.wikipedia.org/wiki/Prunus_armeniaca,Apricot
pear,https://en.wikipedia.org/wiki/Pear,Pear
blueberry,https://en.wikipedia.org/wiki/Bilberry,Blueberry
blackberry,https://en.wikipedia.org/wiki/Blackberry,Blackberry
strawberry,https://en.wikipedia.org/wiki/Strawberry,Strawberry
raspberry,https://en.wikipedia.org/wiki/Raspberry,Raspberry
elderberry,https://en.wikipedia.org/wiki/Sambucus_nigra,"Elderberry, sambucus, elder"
gooseberry,https://en.wikipedia.org/wiki/Gooseberry,Gooseberry
banana,https://en.wikipedia.org/wiki/Banana,Banana
rhubarb,https://en.wikipedia.org/wiki/Rhubarb,Rhubarb
paprika,https://en.wikipedia.org/wiki/Bell_pepper,"Paprika, Pepper, Sweet pepper, Bell pepper, Capsicum"
pineapple,https://en.wikipedia.org/wiki/Pineapple,"Pineapple, Ananas"
avocado,https://en.wikipedia.org/wiki/Avocado,"Avocado, Avocado Pear, Alligator pear"
date,https://en.wikipedia.org/wiki/Date_palm,"Fresh date, Date"
fig,https://en.wikipedia.org/wiki/Common_fig,Fig
pomegranate,https://en.wikipedia.org/wiki/Pomegranate,Pomegranate
grapefuit,https://en.wikipedia.org/wiki/Grapefruit,Grapefruit
currant,https://en.wikipedia.org/wiki/Ribes,"Currant, Ribes"
persimmon,https://en.wikipedia.org/wiki/Diospyros_kaki,"Persimmon, Diospyros Kaki, Kaki"
pricklypear,https://en.wikipedia.org/wiki/Opuntia_ficus-indica,Prickly pear
physalis,https://en.wikipedia.org/wiki/Physalis,"Physalis, Groundcherry, Inca berry, Cape gooseberry"
starfuit,https://en.wikipedia.org/wiki/Carambola,"Carambola, Star fruit"
kiwi,https://en.wikipedia.org/wiki/Kiwifruit,"Kiwi, Kiwifruit"
coco,https://en.wikipedia.org/wiki/Coconut,"Coconut, Coco"
lychee,https://en.wikipedia.org/wiki/Lychee,"Lychee, Longan, Litchi"
mango,https://en.wikipedia.org/wiki/Mango,Mango
watermelon,https://en.wikipedia.org/wiki/Watermelon,"Watermelon, Water melon"
yellowplum,https://en.wikipedia.org/wiki/Mirabelle_plum,"Yellow plum, Mirabelle plum, Mirabelle prune, Cherry Plum"
nectarine,https://en.wikipedia.org/wiki/Peach#Nectarines,Nectarine
papaya,https://en.wikipedia.org/wiki/Papaya,"Papaya, Papaw, Pawpaw"
passionfruit,https://en.wikipedia.org/wiki/Passiflora_edulis,"Passion fruit, Maracuja, Passiflora edulis"
peach,https://en.wikipedia.org/wiki/Peach,Peach
plum,https://en.wikipedia.org/wiki/Prunus_domestica,"Plum, European Plum"
prune,https://en.wikipedia.org/wiki/Zwetschge,"Zwetschge, Sugar Plum, Prune"
dragonfruit,https://en.wikipedia.org/wiki/Pitaya,"Dragonfruit, Pitaya, Pitahaya"
quince,https://en.wikipedia.org/wiki/Quince,Quince
cherry,https://en.wikipedia.org/wiki/Prunus_avium,"Cherry, Sweet Cherry, Wild Cherry, Gean"
grapes,https://en.wikipedia.org/wiki/Grape,"Grapes, Wine grape"
amla,https://en.wikipedia.org/wiki/Phyllanthus_emblica,"Amla, Emblic, Myrobalan, Indian gooseberry"
